cancion	artista	estado/actividad
Come First 	 Terror Jr	Despertarse
Stunt Queen 	 Bloc Party	Despertarse
Anywhere 	 Dillon Francis	Despertarse
Starboy 	 The Weeknd	Despertarse
Chica Bonita 	 Adiós París	Despertarse
Reggaetón Lento (Bailemos) 	 CNCO	Despertarse
Future Looks Good 	 OneRepublic	Despertarse
Blow Your Mind (Mwah) 	 Dua Lipa	Despertarse
"Meteorite - From ""Bridget Jones's Baby"" Original Motion Picture Soundtrack "	 Years & Years	Despertarse
Hotels 	 Hotel Apache	Despertarse
Let Me Love You 	 DJ Snake	Despertarse
Would I Lie To You - Radio Edit 	 David Guetta	Despertarse
Cool Girl 	 Tove Lo	Despertarse
This Town 	 Fly by Midnight	Despertarse
The Greatest 	 Sia	Despertarse
Side To Side 	 Ariana Grande	Despertarse
All Night 	 Crystal Fighters	Despertarse
Retrograde 	 Goldroom	Despertarse
something 	 gnash	Despertarse
September Song 	 JP Cooper	Despertarse
Traicionera 	 Sebastian Yatra	Despertarse
Hurts 	 Emeli Sandé	Despertarse
Verano 	 La Oreja de Van Gogh	Despertarse
Mama Said 	 Lukas Graham	Despertarse
Grow Up 	 Olly Murs	Despertarse
Libre 	 Alvaro Soler	Despertarse
Alarm 	 Anne-Marie	Despertarse
High And Low 	 Empire of the Sun	Despertarse
Somewhere New - Radio Edit 	 Klingande	Despertarse
Kiss the Sky 	 Jason Derulo	Despertarse
Bonfire 	 Felix Jaehn	Despertarse
Fever 	 Roosevelt	Despertarse
"Girls Talk Boys - From ""Ghostbusters"" Original Motion Picture Soundtrack "	 5 Seconds of Summer	Despertarse
Bleeding Heart 	 Regina Spektor	Despertarse
Loco Como Yo 	 Ana Mena	Despertarse
Karma 	 ALMA	Despertarse
Let Me Go 	 BRAVVO	Despertarse
When You Love Someone 	 James TW	Leer
Half The World Away 	 AURORA	Leer
Seasons of Love 	 Molly Parden	Leer
Vice 	 Miranda Lambert	Leer
Like Real People Do 	 Hozier	Leer
Wake up - Acústico 	 Ramon Mirabet	Leer
Life On Mars 	 AURORA	Leer
Put On	 Cologne 	Leer
It Gets Cold - Acoustic 	 Eliza and the Bear	Leer
We Are The People - Live From Spotify London / 2014 	 Broods	Leer
Just Like A Child 	 James Morrison	Leer
Crazy (Gnarls Barkley Cover) 	 Emily Asen	Leer
Making All Things New 	 Aaron Espe	Leer
All The Pretty Girls 	 Kaleo	Leer
Serpentine 	 Chris Bathgate	Leer
Anyhow... 	 Tyler Lyle	Leer
Do You Hear Wedding Bells (Low Down Version) 	 Doug Burr	Leer
Home 	 Max Jury	Leer
Pretty Words 	 Crissi Cochrane	Leer
Here Comes the Sun 	 Nathan Roberts	Leer
Everybody Does 	 Julien Baker	Leer
Tenerife Sea 	 Ed Sheeran	Leer
More Of You 	 Chris Stapleton	Leer
Fall Apart Today 	 Schuyler Fisk	Leer
The Night Josh Tillman Came To Our Apt. 	 Father John Misty	Leer
Cherry Wine - Live 	 Hozier	Leer
Be My Husband 	 Sara Watkins	Leer
Little Secrets 	 Belize	Leer
The Parting Glass 	 Cara Dillon	Leer
Feather In the Wind 	 Susie Suh	Leer
Caledonia 	 Dougie MacLean	Leer
Dream 	 Priscilla Ahn	Leer
On the Frame 	 Beta Radio	Leer
Spells You 	 Sumie	Leer
I Do 	 Susie Suh	Leer
Elation 	 Isbells	Leer
Let It Go - Live From Spotify London/2015 	 James Bay	Leer
Meet Me At The Edge Of The World 	 Over The Rhine	Leer
Percy Anderson 	 Jasmine Kennedy	Leer
This Is What I Need To Say 	 Nashville Cast	Leer
Stormy 	 Blossoms	Leer
Say Anything 	 Tristan Prettyman	Leer
Imagine 	 Jack Johnson	Leer
Oh Please My Heart 	 Redbird	Leer
Billie Jean 	 The Civil Wars	Leer
Wash. 	 Bon Iver	Leer
I Had to Carry Her (Virginias Song) 	 William Fitzsimmons	Leer
Ocean Stone 	 Chris O'Brien	Leer
Shook 	 Dralms	Leer
Show Me 	 Flo Morrissey	Leer
Girls 	 Widowspeak	Leer
Take Up Your Spade 	 Sara Watkins	Leer
Sea Creatures (Spotify Session) 	 SOAK	Leer
Boys In The Street 	 Greg Holden	Leer
Evening Kitchen 	 Band of Horses	Leer
Fireside 	 Brett Bixby	Leer
